Time,El_grid,PV_feed,PV_self,E_hp,H_hp,E_boiler,H_boiler
150,5.7561945,0.0,0.0,5.1461945,15.438584,0.0,0.0
151,6.1464315,0.0,0.0,5.3764315,16.129295,0.0,0.0
152,8.0517871,0.0,0.0,5.7217871,17.165361,0.0,0.0
153,10.910476,0.0,0.072685812,6.3631617,19.089485,0.0,0.0
154,10.188076,0.0,0.54063042,6.1987066,18.59612,0.0,0.0
155,8.8303184,0.0,1.0294781,5.8697966,17.60939,0.0,0.0
156,6.5131924,0.0,2.5216751,5.2448675,15.734603,0.0,0.0
157,7.5316904,0.0,1.4660681,5.2777585,15.833276,0.0,0.0
158,6.7414209,0.0,2.3905556,5.2119765,15.63593,0.0,0.0
159,6.9341334,0.0,2.1482696,4.9324029,14.797209,0.0,0.0
160,7.7135958,0.0,1.4223616,4.9159574,14.747872,0.0,0.0
161,10.36624,0.0,0.33730017,5.3435405,16.030622,0.0,0.0
162,11.166242,0.0,0.0,5.8862421,17.658726,0.0,0.0
163,10.158707,0.0,0.0,6.1987066,18.59612,0.0,0.0
164,9.9871426,0.0,0.0,6.0671426,18.201428,0.0,0.0
165,8.9911236,0.0,0.0,5.7711236,17.313371,0.0,0.0
166,8.6422135,0.0,0.0,5.4422135,16.326641,0.0,0.0
167,7.717332,0.0,0.0,5.557332,16.671996,0.0,0.0
168,7.2313606,0.0,0.0,6.0013606,18.004082,0.0,0.0
169,6.0264315,0.0,0.0,5.3764315,16.129295,0.0,0.0
170,6.037095,0.0,0.0,5.327095,15.981285,0.0,0.0
171,5.7890855,0.0,0.0,5.1790855,15.537257,0.0,0.0
172,6.0706495,0.0,0.0,5.3106495,15.931949,0.0,0.0
173,5.4866209,0.0,0.0,4.8666209,14.599863,0.0,0.0
174,5.4650569,0.0,0.0,4.7350569,14.205171,0.0,0.0
175,6.1970474,0.0,0.0,4.5870474,13.761142,0.0,0.0
176,7.4557204,0.0,0.0,4.6857204,14.057161,0.0,0.0
177,10.542949,0.0,0.029454381,4.9324029,14.797209,0.0,0.0
178,9.7143208,0.0,0.52542816,5.129749,15.389247,0.0,0.0
179,8.571018,0.0,1.1924274,3.8634453,11.590336,0.0,0.0
180,9.3980595,0.0,0.74538588,3.8634453,11.590336,0.0,0.0
181,10.160995,0.0,0.86557876,4.1265733,12.37972,0.0,0.0
182,8.7013581,0.0,0.67412528,4.4554834,13.36645,0.0,0.0
183,7.916476,0.0,0.83279888,4.6692749,14.007825,0.0,0.0
184,7.5773627,0.0,0.66034823,4.5377109,13.613133,0.0,0.0
185,7.1686502,0.0,0.10261526,4.5212654,13.563796,0.0,0.0
186,7.9815024,0.0,0.0,4.7515024,14.254507,0.0,0.0
187,9.4930664,0.0,0.0,4.8830664,14.649199,0.0,0.0
